Федоренко Володимир Володимирович,https://public.nazk.gov.ua/search?page=1&q=Федоренко Володимир Володимирович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Бедлецька Світлана Олегівна,https://public.nazk.gov.ua/search?page=1&q=Бедлецька Світлана Олегівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Черкаська Милослава Юріївна,https://public.nazk.gov.ua/search?page=1&q=Черкаська Милослава Юріївна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Терещенко Захар Олегович,https://public.nazk.gov.ua/search?page=1&q=Терещенко Захар Олегович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Столбов Олексій Олександрович,https://public.nazk.gov.ua/search?page=1&q=Столбов Олексій Олександрович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Окомашенко Світлана Євгенівна,https://public.nazk.gov.ua/search?page=1&q=Окомашенко Світлана Євгенівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Сафронова Алла Юріївна,https://public.nazk.gov.ua/search?page=1&q=Сафронова Алла Юріївна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Борисова Надія Валентинівна,https://public.nazk.gov.ua/search?page=1&q=Борисова Надія Валентинівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Майстренко Наталія Вікторівна,https://public.nazk.gov.ua/search?page=1&q=Майстренко Наталія Вікторівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Коновалов Юрій Вікторович,https://public.nazk.gov.ua/search?page=1&q=Коновалов Юрій Вікторович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Смирна Катерина Вадимівна,https://public.nazk.gov.ua/search?page=1&q=Смирна Катерина Вадимівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
